
IdCatering--Servicio--Medida--Precio--RubroId--
9,Aceitunas verdes rellenas Morron,100 grs,145,3
7,Cerveza Patagonia,1 lt,140,4
4,Coca Cola,1 lts,85,4
6,Empanadas de copetín,1 u,13,2
19,Fanta Naranja,2 lts,75,4
12,Foforitos,1 u,12,1
11,Jugo Narajna Bagio,1 lts,85,4
1,Masas finas,1 kl,135,1
18,Masas secas,250 gr,167,1
13,MediaLuna JyQ,1 u,45,1
14,Mini Albondigas Carne,1 u,12,1
15,Mortadela,100 gr,65,1
3,Pata de Jamón,100 gr,170,3
20,Pizzeta JyQ,1 u,22,2
5,Queso Azul,250 gr,130,3
16,Salame Milan,100 gr,68,3
17,Salchichas envueltas,1 u,5,2
2,Sandwich de miga,100 u,1100,2
21,Sandwich matambre,1 u,64,2
10,Sidra Real,1 l,99,4
8,Tarta de Ricota,1 u,359,1
